Date,Close/Last,Volume,Open,High,Low
08/31/2020,$16.37,384205,$17,$17.3496,$16.3
08/28/2020,$16.93,182236,$17.04,$17.3,$16.35
08/27/2020,$17.03,325646,$17.72,$17.72,$16.29
08/26/2020,$17.52,330711,$18.81,$19.0445,$17
08/25/2020,$18.54,766875,$15.99,$18.66,$15.9215
08/24/2020,$15.43,162718,$15.75,$16.16,$15.16
08/21/2020,$15.61,257687,$16.68,$16.75,$15.425
08/20/2020,$16.64,295961,$16.01,$17.24,$15.79
08/19/2020,$15.16,145752,$14.94,$15.525,$14.78
08/18/2020,$15.02,123767,$15.06,$15.1,$14.63
08/17/2020,$15.1,96685,$14.7,$15.1,$14.51
08/14/2020,$14.63,90908,$15.04,$15.04,$14.43
08/13/2020,$15.12,113363,$14.6,$15.5,$14.53
08/12/2020,$14.73,94031,$14.96,$15.08,$14.62
08/11/2020,$14.65,97424,$14.35,$15.08,$14.35
08/10/2020,$14.18,188774,$15,$15.14,$13.73
08/07/2020,$14.9,266233,$15.5,$15.99,$14.81
08/06/2020,$14.785,122721,$14.73,$14.99,$14.4
08/05/2020,$14.84,141556,$14.3,$14.86,$14.12
08/04/2020,$14.1,175638,$14.87,$15.095,$13.85
08/03/2020,$14.93,289085,$14.35,$15.25,$14.23
07/31/2020,$14.23,145321,$14.09,$14.26,$13.8
07/30/2020,$14.13,126552,$13.56,$14.28,$13.3304
07/29/2020,$13.83,139096,$14.02,$14.38,$13.46
07/28/2020,$13.92,206732,$13.63,$14.25,$13.63
07/27/2020,$13.685,351424,$13.6,$14.13,$13.2
07/24/2020,$13.65,193592,$13.82,$14.06,$13.615
07/23/2020,$14,272388,$13.18,$14.265,$13.18
07/22/2020,$13.28,201803,$13.38,$13.74,$13.2
07/21/2020,$13.51,248873,$13.04,$13.75,$12.7049
07/20/2020,$12.86,146425,$12.66,$13.41,$12.66
07/17/2020,$12.72,134115,$12.72,$12.9499,$12.53
07/16/2020,$12.75,102377,$12.57,$12.79,$12.285
07/15/2020,$12.71,217698,$12.19,$12.8511,$12.1296
07/14/2020,$11.82,209343,$11.39,$11.86,$11.03
07/13/2020,$11.44,206371,$11.6,$12.13,$11.37
07/10/2020,$11.55,135133,$11.44,$11.59,$11.29
07/09/2020,$11.44,162711,$11.75,$12,$11.36
07/08/2020,$11.8,108021,$11.88,$12,$11.45
07/07/2020,$11.97,185639,$12.27,$12.38,$11.9356
07/06/2020,$12.41,197105,$12.43,$12.46,$11.96
07/02/2020,$12.14,139289,$11.98,$12.49,$11.91
07/01/2020,$11.8,190886,$12.15,$12.44,$11.48
06/30/2020,$12.17,233406,$11.97,$12.29,$11.73
06/29/2020,$12.07,211333,$11.77,$12.45,$11.54
06/26/2020,$11.6,541738,$12.23,$12.32,$11.5
06/25/2020,$12.31,138833,$12.32,$12.68,$11.96
06/24/2020,$12.435,303246,$13.03,$13.3032,$11.95
06/23/2020,$13.3,226882,$13.42,$13.78,$13.24
06/22/2020,$13.21,330907,$13.32,$13.6425,$12.86
06/19/2020,$13.41,957348,$13.57,$14.73,$13.41
06/18/2020,$13.42,363981,$13.34,$13.7,$13.25
06/17/2020,$13.47,235404,$14.45,$14.605,$13.47
06/16/2020,$14.32,217019,$14.63,$14.7,$13.64
06/15/2020,$13.99,337557,$12.98,$14.45,$12.87
06/12/2020,$13.32,276643,$13.19,$13.95,$13.12
06/11/2020,$12.67,326684,$13.67,$13.72,$12.615
06/10/2020,$14.31,220768,$15.43,$15.47,$14.145
06/09/2020,$15.38,322655,$15.74,$16.1336,$15.11
06/08/2020,$15.87,435045,$15.83,$15.9,$15.11
06/05/2020,$15.52,216377,$15.3,$16.17,$15.3
06/04/2020,$14.8,247748,$14.49,$15.08,$14.49
06/03/2020,$14.58,408232,$14.68,$15.17,$14.26
06/02/2020,$14.31,353356,$13.45,$14.48,$13.17
06/01/2020,$13.29,242111,$13.19,$13.975,$13.08
05/29/2020,$13.28,449737,$13.23,$13.78,$12.6909
05/28/2020,$13.36,305382,$13.45,$14.25,$13.187
05/27/2020,$13.31,254484,$13.73,$13.84,$12.71
05/26/2020,$13.47,241786,$13.14,$13.8,$13
